date,dbc_close,uso_close,ung_close,gld_close,cper_close,dba_close,spy_close,uup_close,tip_close,gldm_close,tlt_close,bndx_close
2025-01-01,25.0766,70.1618,14.9915,179.4737,24.9352,20.0024,431.1717,28.0790,105.0341,35.9110,93.7184,48.9625
2025-01-02,25.1209,70.2897,15.0126,179.6422,24.9857,20.0390,431.4102,28.0577,105.0181,35.9382,93.7363,48.9901
2025-01-03,25.1619,70.4164,15.0355,179.8370,25.0374,20.0736,431.5845,28.0346,105.0108,35.9708,93.7617,49.0146
2025-01-04,25.2002,70.5444,15.0603,180.0535,25.0892,20.1060,431.7037,28.0110,105.0143,36.0083,93.7910,49.0347
2025-01-05,25.2367,70.6761,15.0870,180.2861,25.1404,20.1360,431.7800,27.9876,105.0298,36.0498,93.8208,49.0497
2025-01-06,25.2722,70.8127,15.1155,180.5290,25.1903,20.1637,431.8267,27.9654,105.0570,36.0943,93.8483,49.0594
2025-01-07,25.3075,70.9552,15.1455,180.7766,25.2386,20.1895,431.8568,27.9449,105.0947,36.1407,93.8716,49.0643
2025-01-08,25.3432,71.1036,15.1767,181.0246,25.2851,20.2137,431.8816,27.9261,105.1413,36.1880,93.8894,49.0649
2025-01-09,25.3796,71.2574,15.2087,181.2697,25.3299,20.2368,431.9095,27.9092,105.1945,36.2355,93.9017,49.0623
2025-01-10,25.4169,71.4156,15.2412,181.5103,25.3734,20.2592,431.9456,27.8939,105.2521,36.2827,93.9089,49.0573
2025-01-11,25.4550,71.5772,15.2740,181.7462,25.4159,20.2812,431.9914,27.8798,105.3123,36.3293,93.9121,49.0509
2025-01-12,25.4938,71.7411,15.3069,181.9785,25.4577,20.3031,432.0451,27.8665,105.3739,36.3754,93.9126,49.0438
2025-01-13,25.5330,71.9063,15.3400,182.2091,25.4992,20.3249,432.1026,27.8536,105.4363,36.4213,93.9117,49.0361
2025-01-14,25.5723,72.0726,15.3732,182.4404,25.5405,20.3465,432.1586,27.8409,105.4998,36.4674,93.9103,49.0280
2025-01-15,25.6113,72.2398,15.4069,182.6745,25.5818,20.3678,432.2078,27.8283,105.5653,36.5142,93.9089,49.0190
2025-01-16,25.6499,72.4087,15.4411,182.9126,25.6229,20.3883,432.2463,27.8159,105.6344,36.5621,93.9072,49.0085
2025-01-17,25.6882,72.5803,15.4763,183.1551,25.6633,20.4079,432.2727,27.8041,105.7088,36.6113,93.9042,48.9957
2025-01-18,25.7264,72.7560,15.5124,183.4005,25.7027,20.4262,432.2890,27.7933,105.7900,36.6617,93.8985,48.9798
2025-01-19,25.7650,72.9374,15.5496,183.6461,25.7404,20.4430,432.3006,27.7842,105.8792,36.7129,93.8878,48.9600
2025-01-20,25.8046,73.1260,15.5880,183.8877,25.7759,20.4584,432.3167,27.7775,105.9770,36.7643,93.8700,48.9360
2025-01-21,25.8458,73.3228,15.6272,184.1201,25.8087,20.4725,432.3493,27.7736,106.0827,36.8149,93.8428,48.9079
2025-01-22,25.8896,73.5286,15.6669,184.3376,25.8384,20.4856,432.4120,27.7731,106.1949,36.8636,93.8044,48.8762
2025-01-23,25.9366,73.7430,15.7067,184.5346,25.8652,20.4985,432.5190,27.7761,106.3108,36.9090,93.7538,48.8420
2025-01-24,25.9875,73.9651,15.7459,184.7062,25.8891,20.5118,432.6830,27.7825,106.4269,36.9500,93.6908,48.8067
2025-01-25,26.0425,74.1930,15.7840,184.8492,25.9107,20.5263,432.9140,27.7918,106.5389,36.9856,93.6165,48.7723
2025-01-26,26.1017,74.4240,15.8203,184.9622,25.9309,20.5429,433.2174,27.8033,106.6422,37.0150,93.5331,48.7409
2025-01-27,26.1647,74.6549,15.8542,185.0463,25.9507,20.5624,433.5934,27.8158,106.7323,37.0380,93.4439,48.7147
2025-01-28,26.2310,74.8821,15.8854,185.1053,25.9714,20.5855,434.0360,27.8281,106.8053,37.0549,93.3529,48.6956
2025-01-29,26.2995,75.1018,15.9135,185.1451,25.9943,20.6127,434.5334,27.8388,106.8584,37.0665,93.2649,48.6852
2025-01-30,26.3690,75.3107,15.9385,185.1740,26.0206,20.6440,435.0682,27.8465,106.8899,37.0739,93.1847,48.6847
2025-01-31,26.4380,75.5061,15.9607,185.2017,26.0515,20.6794,435.6188,27.8499,106.8998,37.0789,93.1170,48.6943
2025-02-01,26.5050,75.6861,15.9806,185.2385,26.0877,20.7184,436.1612,27.8480,106.8898,37.0835,93.0656,48.7137
2025-02-02,26.5688,75.8498,15.9988,185.2948,26.1298,20.7602,436.6704,27.8401,106.8631,37.0898,93.0336,48.7416
2025-02-03,26.6280,75.9979,16.0162,185.3797,26.1777,20.8038,437.1232,27.8260,106.8245,37.0999,93.0224,48.7764
2025-02-04,26.6818,76.1320,16.0336,185.5007,26.2310,20.8480,437.4999,27.8059,106.7796,37.1158,93.0321,48.8154
2025-02-05,26.7297,76.2550,16.0521,185.6628,26.2890,20.8915,437.7858,27.7805,106.7349,37.1388,93.0611,48.8559
2025-02-06,26.7716,76.3705,16.0726,185.8679,26.3504,20.9333,437.9730,27.7509,106.6966,37.1700,93.1065,48.8949
2025-02-07,26.8078,76.4830,16.0958,186.1147,26.4139,20.9721,438.0606,27.7185,106.6707,37.2098,93.1641,48.9297
2025-02-08,26.8393,76.5970,16.1222,186.3991,26.4779,21.0071,438.0553,27.6848,106.6623,37.2580,93.2289,48.9576
2025-02-09,26.8671,76.7169,16.1523,186.7142,26.5409,21.0377,437.9703,27.6515,106.6749,37.3137,93.2953,48.9768
2025-02-10,26.8926,76.8468,16.1861,187.0508,26.6013,21.0637,437.8243,27.6202,106.7107,37.3755,93.3579,48.9859
